time,xg,yg,zg,ug,vg,wg,phi,theta,psi
1.195,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.2,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.205,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.21,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.215,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.22,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.225,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.23,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.235,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.24,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.245,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.25,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.255,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.26,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.265,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.27,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.275,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.28,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.285,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.29,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.295,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.3,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.305,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.31,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.315,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.32,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.325,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.33,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.335,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.34,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.345,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.35,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.355,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.36,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.365,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.37,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.375,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.38,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.385,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.39,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.395,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.4,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.405,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.41,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.415,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.42,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.425,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.43,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.435,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.44,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.445,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.45,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.455,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.46,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.465,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.47,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
